"","keyword","ngram","freq","rake","key"
"1","branch library",2,5,21.118968935889,"branch library"
"2","ice cream",2,2,19.4978571428571,"ice cream"
"3","longwood medical",2,9,17.3976451146457,"longwood medical"
"4","arnold arboretum",2,3,17.1277777777778,"arnold arboretum"
"5","step door",2,2,16.7137838742054,"step door"
"6","public garden",2,2,16.5244802146211,"public garden"
"7","bite cocktail",2,2,16.4335839598997,"bite cocktail"
"8","adam brewery",2,2,16.3542510121457,"adam brewery"
"9","library museum",2,4,16.2993212798722,"library museum"
"10","front door",2,2,16.288160291439,"front door"
"11","gardner street",2,3,16.1765873015873,"gardner street"
"12","sport team",2,4,16.125,"sport team"
"13","walk distance",2,17,15.9585004573023,"walk distance"
"14","outdoor cafe",2,2,15.5315018315018,"outdoor cafe"
"15","star market",2,6,15.5078534031414,"star market"
"16","public transportation",2,4,15.4595241351019,"public transportation"
"17","tr gato",2,2,15.3839285714286,"tr gato"
"18","green front",2,3,15.3453968253968,"green front"
"19","green space",2,5,15.22,"green space"
"20","freedom trail",2,11,15.2060945273632,"freedom trail"
"21","easy access",2,4,15.1822222222222,"easy access"
"22","grocery store",2,6,15.1534752244762,"grocery store"
"23","sushi block",2,4,14.9762529274005,"sushi block"
"24","shopping dining",2,3,14.975030106417,"shopping dining"
"25","jamaica pond",2,6,14.9600956350634,"jamaica pond"
"26","jamaica pond pond",2,3,14.9600956350634,"jamaica pond pond"
"27","centre street",2,2,14.7654761904762,"centre street"
"28","harvard arboretum",2,2,14.7606544901065,"harvard arboretum"
"29","restaurant row",2,4,14.7309857239973,"restaurant row"
"30","bar restaurant",2,2,14.6230478082545,"bar restaurant"
"31","restaurant bar",2,7,14.6230478082545,"restaurant bar"
"32","modern bakery",2,2,14.5876160990712,"modern bakery"
"33","shop grocery",2,6,14.5768948919941,"shop grocery"
"34","restaurant shop",2,4,14.5711795850635,"restaurant shop"
"35","door street",2,3,14.4425253708041,"door street"
"36","irish pub",2,2,14.3961191033791,"irish pub"
"37","half mile",2,2,14.3898653998416,"half mile"
"38","boston common",2,29,14.3736871087645,"boston common"
"39","fanuiel hall",2,7,14.3735632183908,"fanuiel hall"
"40","numerous restaurant",2,3,14.3322357239973,"numerous restaurant"
"41","commuter rail",2,2,14.3285714285714,"commuter rail"
"42","historical site",2,2,14.312915282392,"historical site"
"43","forest hills",2,2,14.2978947368421,"forest hills"
"44","couple wood",2,3,14.2631578947368,"couple wood"
"45","faneuil hall",2,25,14.2419842710224,"faneuil hall"
"46","convenience store",2,4,14.1116995666827,"convenience store"
